timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1519294751472229,13,13,13,19,1,8,7,8
1519294751480251,-11,-13,-7,-13,-17,-11,-8,-9
1519294751480251,0,0,-3,6,-3,-2,-1,-1
1519294751495295,5,8,6,16,9,7,5,4
1519294751495295,-8,-9,-4,-11,-5,-8,-7,-6
1519294751502315,11,11,11,20,15,7,8,7
1519294751502315,-5,-5,-10,-31,-1,-3,-1,-5
1519294751517346,-13,-11,-11,-5,-8,-8,-8,-10
1519294751517346,16,15,16,25,16,8,8,11
1519294751532386,-11,-12,-9,-7,-14,-10,-8,-8
1519294751532386,-6,-5,-12,-10,-1,-5,-3,-3
1519294751540407,7,10,20,6,17,8,6,7
1519294751540407,-11,-13,-7,6,-24,-10,-8,-8
1519294751555447,9,10,3,-17,16,8,8,7
1519294751555447,-1,-1,3,8,-1,-5,-1,-2
1519294751562467,4,1,-4,-2,4,8,2,0
1519294751562467,-1,0,-4,6,-2,-2,1,-1
1519294751577507,-14,-15,-18,-19,-18,-14,-10,-11
1519294751577507,-6,-8,-4,-3,-4,-3,-2,-5
1519294751592784,9,9,7,19,9,7,7,7
1519294751592784,-9,-13,-16,-18,-7,-7,-7,-9
1519294751600633,5,6,9,12,19,3,1,3
1519294751600633,-1,0,-3,-4,-20,-5,1,-1
1519294751615650,0,-4,-3,-3,2,0,-5,-2
1519294751615650,0,2,2,9,4,2,2,0
1519294751622670,-11,-12,-17,-11,-15,-13,-10,-9
1519294751622670,16,19,18,1,26,18,12,14
1519294751638026,-13,-11,-6,-12,-25,-16,-9,-9
1519294751638026,-8,-9,-6,-1,-9,-6,-7,-7
1519294751644726,14,14,6,12,14,11,11,9
1519294751644726,-9,-12,-9,-3,2,-2,-7,-7
1519294751660021,6,6,5,4,13,4,4,4
1519294751660021,3,2,1,5,-5,0,3,2
1519294751675843,-6,-3,7,1,2,-4,-3,-4
1519294751675843,13,12,5,2,-3,9,6,8
